indicadores,estimadores,aeropuertos_islas_id,aeropuertos_islas_nombre,periodos_id,periodos_nombre,trafico_aereo_comercial_pasajeros_aviones_mercancias
Pasajeros,Valores absolutos,ES70,Canarias,2020M03,2020 Marzo (p),1896620.0
Pasajeros,Valores absolutos,ES70,Canarias,2020M02,2020 Febrero (p),3621056.0
Pasajeros,Valores absolutos,ES70,Canarias,2020M01,2020 Enero (p),3648055.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M12,2019 Diciembre (p),3870165.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M11,2019 Noviembre (p),3824655.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M10,2019 Octubre (p),3755908.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M09,2019 Septiembre (p),3555392.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M08,2019 Agosto (p),3944944.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M07,2019 Julio (p),3813240.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M06,2019 Junio (p),3512161.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M05,2019 Mayo (p),3338970.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M04,2019 Abril (p),3792421.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M03,2019 Marzo (p),4210956.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M02,2019 Febrero (p),3576215.0
Pasajeros,Valores absolutos,ES70,Canarias,2019M01,2019 Enero (p),3744608.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M12,2018 Diciembre (p),3888567.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M11,2018 Noviembre (p),3829886.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M10,2018 Octubre (p),3980662.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M09,2018 Septiembre (p),3654730.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M08,2018 Agosto (p),4015303.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M07,2018 Julio (p),3915328.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M06,2018 Junio (p),3462578.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M05,2018 Mayo (p),3394820.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M04,2018 Abril (p),3666977.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M03,2018 Marzo (p),4117256.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M02,2018 Febrero (p),3525186.0
Pasajeros,Valores absolutos,ES70,Canarias,2018M01,2018 Enero (p),3673774.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M12,2017 Diciembre (p),3883655.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M11,2017 Noviembre (p),3810880.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M10,2017 Octubre (p),3932892.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M09,2017 Septiembre (p),3599077.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M08,2017 Agosto (p),3930338.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M07,2017 Julio (p),3830462.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M06,2017 Junio (p),3313868.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M05,2017 Mayo (p),3194680.0
Pasajeros,Valores absolutos,ES70,Canarias,2017M04,2017 Abril (p),3799682.0
